Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Bari,30,38.0,16003,14107,1865,623,32,58,736,705,163,56,76,0,12400,31,320
vs Brescia,26,38.0,17932,16039,1862,557,18,79,804,749,180,50,93,0,14128,31,362
vs Carrarese,33,38.0,16991,15094,1857,566,20,64,756,772,183,75,86,3,13130,40,332
vs Catanzaro,28,38.0,15316,13649,1609,476,26,87,766,582,184,60,82,0,11964,58,227
vs Cesena,27,38.0,18162,16326,1787,627,22,64,645,704,141,53,62,6,14653,49,295
vs Cittadella,33,38.0,18073,15927,2091,740,22,100,736,805,187,72,78,3,13865,55,356
vs Cosenza,31,38.0,15973,13926,1983,580,28,74,736,805,200,84,80,6,12123,64,338
vs Cremonese,29,38.0,13678,11665,1935,669,14,51,583,684,136,51,66,0,10117,78,263
vs Frosinone,38,38.0,18020,16165,1798,552,27,70,771,691,185,82,66,0,14588,57,295
vs Juve Stabia,29,38.0,14315,12321,1934,730,20,56,738,693,183,52,106,0,10198,60,350
vs Mantova,26,38.0,12762,11107,1593,546,18,67,749,537,164,77,65,1,9507,62,300
vs Modena,30,38.0,17402,15639,1730,504,15,83,848,719,169,67,73,0,13649,33,294
vs Palermo,29,38.0,16716,14798,1822,559,35,81,755,636,205,85,89,0,13148,96,297
vs Pisa,33,38.0,17671,15611,1964,638,24,83,682,789,149,53,57,1,13467,96,328
vs Reggiana,30,38.0,18431,16445,1964,662,21,62,819,787,178,71,77,0,14661,22,340
vs Salernitana,42,38.0,16441,14588,1762,595,31,88,638,650,148,59,61,0,12928,91,312
vs Sampdoria,38,38.0,16343,14412,1870,667,24,64,737,678,172,60,74,1,12594,61,321
vs Sassuolo,34,38.0,17550,15755,1736,505,23,80,748,672,164,64,64,5,13917,59,310
vs Spezia,27,38.0,15121,13026,2049,666,25,95,586,766,147,53,61,6,11163,46,336
vs Südtirol,32,38.0,17991,15928,2021,691,17,84,802,790,192,83,65,1,14014,42,288
