Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Avellino,24,6.0,2621,2330,284,104,2,13,80,97,11,4,3,0,2125,7,44
Bari,24,6.0,2642,2337,298,116,1,13,93,98,14,5,7,1,2101,7,40
Carrarese,24,6.0,2558,2239,317,102,2,22,127,132,31,8,13,0,1993,2,48
Catanzaro,22,6.0,3196,2890,302,118,7,10,113,99,27,15,8,0,2650,4,61
Cesena,21,6.0,2553,2243,302,88,3,8,102,127,23,17,3,0,1972,8,45
Empoli,21,6.0,2325,2020,302,102,4,9,116,122,21,7,11,0,1744,3,63
Frosinone,23,6.0,2163,1851,301,104,1,12,89,105,29,7,16,0,1646,11,56
Juve Stabia,21,6.0,2738,2458,268,85,7,12,116,106,28,19,6,0,2191,12,44
Mantova,22,6.0,3225,2888,333,131,6,16,105,113,23,6,14,0,2798,4,54
Modena,20,6.0,2373,2102,256,80,4,15,139,106,29,11,15,0,1798,15,53
Monza,22,6.0,2978,2689,278,96,5,21,126,107,31,12,13,0,2427,11,58
Padova,20,6.0,2620,2339,270,97,7,13,103,90,24,2,13,4,2063,11,47
Palermo,22,6.0,2393,2077,309,95,2,10,143,132,29,8,15,0,1758,7,50
Pescara,26,6.0,2523,2207,310,112,3,11,91,117,26,6,18,1,1993,6,40
Reggiana,24,6.0,2475,2176,287,78,4,17,121,109,24,5,9,0,1915,12,53
Sampdoria,23,6.0,2387,2061,315,92,0,12,106,143,16,10,3,0,1729,11,46
Spezia,22,6.0,2330,2038,284,113,1,14,123,88,28,9,16,1,1747,8,40
Südtirol,22,6.0,1874,1527,336,84,0,1,138,159,30,9,20,0,1128,11,47
Venezia,23,6.0,3030,2755,264,106,5,8,87,81,24,11,7,0,2543,11,45
Virtus Entella,21,6.0,2333,2056,265,76,1,12,132,105,34,8,19,0,1821,12,52
