Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Bari,30,38.0,12663,16247,77.9,222690,88422,5725,6565,87.2,5089,6149,82.8,1381,2506,55.1,29,34.4,37.2,-5.4,376,1065,329,124,1342
Brescia,26,38.0,11908,15735,75.7,232483,92474,4255,5069,83.9,5618,6703,83.8,1680,3061,54.9,25,31.1,32.0,-6.1,370,1069,288,140,1225
Carrarese,33,38.0,12443,16369,76.0,225124,84957,5020,5862,85.6,5360,6383,84.0,1463,2753,53.1,32,30.4,31.4,1.6,335,799,281,109,1086
Catanzaro,28,38.0,15376,18664,82.4,271904,97743,6846,7547,90.7,6848,7843,87.3,1436,2565,56.0,39,30.0,30.9,9.0,334,1097,272,90,1337
Cesena,27,38.0,13682,17250,79.3,242137,81881,5988,6730,89.0,6175,7093,87.1,1256,2544,49.4,29,28.8,27.5,0.2,306,914,253,72,1182
Cittadella,33,38.0,10647,14945,71.2,192486,80949,4727,5657,83.6,4407,5624,78.4,1240,2751,45.1,20,22.2,24.9,-2.2,299,1018,249,101,1302
Cosenza,31,38.0,11313,15166,74.6,208428,82986,4833,5700,84.8,4972,6016,82.6,1276,2724,46.8,21,32.5,29.0,-11.5,363,1056,233,87,1245
Cremonese,29,38.0,16226,19798,82.0,288046,103582,7021,7814,89.9,7201,8212,87.7,1595,2725,58.5,50,46.0,50.0,4.0,446,1302,363,127,1663
Frosinone,38,38.0,12569,15819,79.5,237488,87605,4973,5656,87.9,5947,6838,87.0,1472,2743,53.7,24,28.9,29.8,-4.9,351,1134,267,90,1228
Juve Stabia,29,38.0,11710,15734,74.4,216498,82648,4735,5588,84.7,5315,6387,83.2,1318,2838,46.4,32,31.0,30.1,1.0,300,910,246,89,1114
Mantova,26,38.0,17447,20683,84.4,294800,105372,8086,8846,91.4,7712,8616,89.5,1297,2369,54.7,36,28.4,32.2,7.6,372,1100,269,81,1314
Modena,30,38.0,12811,16520,77.5,230336,88678,5716,6657,85.9,5404,6378,84.7,1371,2639,52.0,31,29.4,33.5,1.6,323,1025,289,64,1374
Palermo,29,38.0,12733,16227,78.5,234632,86325,5078,5827,87.1,5758,6706,85.9,1519,2775,54.7,33,40.2,41.7,-7.2,394,1019,322,119,1330
Pisa,33,38.0,10903,15159,71.9,207436,85374,4268,5272,81.0,4980,6275,79.4,1375,2751,50.0,33,36.7,38.2,-3.7,338,1029,321,130,1265
Reggiana,30,38.0,11362,15040,75.5,204124,76495,4910,5779,85.0,4893,5938,82.4,1234,2440,50.6,22,25.8,24.9,-3.8,290,811,232,70,1066
Salernitana,42,38.0,13723,17385,78.9,244022,88301,6165,6987,88.2,5901,6922,85.2,1390,2695,51.6,17,27.8,32.9,-10.8,355,1079,313,85,1379
Sampdoria,38,38.0,11392,15282,74.5,203082,79416,5153,6061,85.0,4890,5954,82.1,1141,2438,46.8,21,31.4,29.8,-10.4,326,932,277,88,1231
Sassuolo,34,38.0,15742,19165,82.1,259030,93858,7730,8578,90.1,6204,7139,86.9,1256,2403,52.3,55,37.9,40.5,17.1,389,1170,341,72,1471
Spezia,27,38.0,11369,15394,73.9,204021,86178,4815,5687,84.7,4578,5757,79.5,1382,2680,51.6,34,43.8,54.6,-9.8,415,1040,396,164,1449
Südtirol,32,38.0,10195,14309,71.2,192084,84008,4247,5149,82.5,4267,5457,78.2,1387,2861,48.5,32,28.7,35.7,3.3,314,953,309,108,1227
