Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Avellino,24,26.9,6,540,90,100,6.0,66,79,35,30,22,42,0.83,9,11,-2,-0.33,6.3,6.3,0.0,0.01
vs Bari,24,27.4,6,540,90,100,6.0,66,80,38,28,16,42,2.0,11,5,6,1.0,8.7,4.8,3.9,0.65
vs Carrarese,24,27.0,6,540,90,100,6.0,66,80,35,28,25,44,1.17,7,8,-1,-0.17,5.8,7.9,-2.1,-0.36
vs Catanzaro,22,25.8,6,540,90,100,6.0,66,80,35,30,22,42,1.0,6,6,0,0.0,6.7,5.7,1.0,0.17
vs Cesena,21,26.6,6,540,90,100,6.0,66,83,35,29,22,41,0.83,8,10,-2,-0.33,7.1,12.2,-5.1,-0.86
vs Empoli,21,26.4,6,540,90,100,6.0,66,79,37,29,22,43,1.5,12,8,4,0.67,8.1,6.8,1.4,0.23
vs Frosinone,23,27.5,6,540,90,100,6.0,66,79,37,29,24,38,0.33,4,13,-9,-1.5,9.4,9.9,-0.5,-0.08
vs Juve Stabia,21,26.3,6,540,90,100,6.0,66,78,36,29,24,42,0.67,5,8,-3,-0.5,5.5,7.3,-1.8,-0.29
vs Mantova,22,26.6,6,540,90,100,6.0,66,80,36,30,21,42,2.5,13,5,8,1.33,10.2,9.6,0.6,0.11
vs Modena,20,27.3,6,540,90,100,6.0,66,80,36,29,21,43,0.33,3,11,-8,-1.33,4.9,11.4,-6.5,-1.09
vs Monza,22,27.1,6,540,90,100,6.0,66,79,37,28,18,43,1.33,5,5,0,0.0,5.3,6.2,-0.8,-0.14
vs Padova,20,26.3,6,540,90,100,6.0,66,82,36,30,25,41,1.33,7,6,1,0.17,7.3,5.1,2.2,0.37
vs Palermo,22,26.1,6,540,90,100,6.0,66,80,38,28,17,43,0.5,2,7,-5,-0.83,4.5,7.5,-3.0,-0.5
vs Pescara,26,26.4,6,540,90,100,6.0,66,81,37,29,20,41,1.83,10,10,0,0.0,12.6,4.7,7.9,1.31
vs Reggiana,24,26.8,6,540,90,100,6.0,66,81,34,29,22,41,1.5,9,8,1,0.17,8.6,4.8,3.9,0.64
vs Sampdoria,23,27.7,6,540,90,100,6.0,66,80,37,28,22,42,2.33,9,3,6,1.0,7.1,4.2,3.0,0.5
vs Spezia,22,25.9,6,540,90,100,6.0,66,77,37,29,21,43,2.0,9,3,6,1.0,6.3,4.6,1.7,0.29
vs Südtirol,22,26.3,6,540,90,100,6.0,66,81,38,28,21,43,1.0,8,10,-2,-0.33,6.2,8.7,-2.5,-0.42
vs Venezia,23,26.4,6,540,90,100,6.0,66,81,36,28,24,39,1.0,5,7,-2,-0.33,5.3,8.5,-3.2,-0.53
vs Virtus Entella,21,26.9,6,540,90,100,6.0,66,82,38,28,23,42,1.5,8,6,2,0.33,7.1,7.1,0.0,0.0
