Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Bari,30,27.9,38,3420,90,100,38.0,418,80,236,182,23,251,1.26,41,40,1,0.03,46.8,51.3,-4.6,-0.12
Brescia,26,26.2,38,3420,90,100,38.0,418,81,240,177,21,230,1.13,42,48,-6,-0.16,42.4,48.8,-6.4,-0.17
Carrarese,33,25.9,38,3420,90,100,38.0,418,79,224,189,24,261,1.18,39,49,-10,-0.26,40.1,49.3,-9.2,-0.24
Catanzaro,28,28.0,38,3420,90,100,38.0,418,81,242,174,22,273,1.39,51,45,6,0.16,39.8,51.8,-12.0,-0.32
Cesena,27,26.0,38,3420,90,100,38.0,418,80,232,182,21,259,1.39,46,47,-1,-0.03,43.1,47.6,-4.5,-0.12
Cittadella,33,26.9,38,3420,90,100,38.0,418,81,247,170,23,252,1.03,30,56,-26,-0.68,31.2,55.6,-24.3,-0.64
Cosenza,31,25.8,38,3420,90,100,38.0,418,79,223,186,23,266,0.89,32,56,-24,-0.63,45.7,49.2,-3.5,-0.09
Cremonese,29,28.1,38,3420,90,100,38.0,418,80,232,182,23,246,1.61,62,44,18,0.47,59.2,39.5,19.7,0.52
Frosinone,38,23.8,38,3420,90,100,38.0,418,79,236,178,25,274,1.13,37,50,-13,-0.34,43.2,49.1,-5.8,-0.15
Juve Stabia,29,24.4,38,3420,90,100,38.0,418,81,229,185,19,265,1.45,42,41,1,0.03,40.5,40.1,0.4,0.01
Mantova,26,27.4,38,3420,90,100,38.0,418,80,228,187,22,267,1.16,47,56,-9,-0.24,41.5,48.8,-7.3,-0.19
Modena,30,26.4,38,3420,90,100,38.0,418,80,230,186,21,261,1.18,48,50,-2,-0.05,42.8,45.5,-2.7,-0.07
Palermo,29,26.5,38,3420,90,100,38.0,418,82,234,183,19,238,1.37,52,43,9,0.24,56.7,46.2,10.5,0.28
Pisa,33,25.8,38,3420,90,100,38.0,418,79,230,186,23,266,2.0,64,36,28,0.74,55.7,35.4,20.3,0.53
Reggiana,30,26.3,38,3420,90,100,38.0,418,81,243,173,21,270,1.16,42,52,-10,-0.26,40.8,42.0,-1.2,-0.03
Salernitana,42,26.6,38,3420,90,100,38.0,418,79,236,181,24,267,1.11,37,47,-10,-0.26,41.9,48.7,-6.8,-0.18
Sampdoria,38,27.1,38,3420,90,100,38.0,418,79,230,185,24,264,1.08,38,49,-11,-0.29,44.9,46.8,-1.9,-0.05
Sassuolo,34,25.4,38,3420,90,100,38.0,418,80,232,187,23,269,2.16,78,38,40,1.05,54.5,40.3,14.2,0.37
Spezia,27,26.1,38,3420,90,100,38.0,418,81,236,179,21,271,1.74,59,33,26,0.68,65.4,35.9,29.5,0.78
Südtirol,32,28.0,38,3420,90,100,38.0,418,80,234,181,22,263,1.21,50,57,-7,-0.18,43.3,47.8,-4.5,-0.12
