Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Bari,30,38.0,93,6,0,542,577,31,736,269,340,5,5,2,1387,682,734,48.2
vs Brescia,26,38.0,100,7,4,572,511,31,804,270,353,7,2,3,1487,728,747,49.4
vs Carrarese,33,38.0,92,5,3,526,514,40,756,272,383,6,4,0,1469,685,710,49.1
vs Catanzaro,28,38.0,96,3,0,616,427,58,766,308,274,1,4,1,1392,442,496,47.1
vs Cesena,27,38.0,93,4,1,565,553,49,645,276,361,3,7,2,1420,549,464,54.2
vs Cittadella,33,38.0,83,1,0,554,666,55,736,256,342,6,1,1,1545,851,780,52.2
vs Cosenza,31,38.0,99,5,1,557,542,64,736,239,345,2,4,0,1336,699,664,51.3
vs Cremonese,29,38.0,86,3,1,533,614,78,583,281,347,3,2,0,1353,627,681,47.9
vs Frosinone,38,38.0,93,4,1,657,510,57,771,267,342,4,5,2,1359,590,565,51.1
vs Juve Stabia,29,38.0,101,6,2,638,654,60,738,304,340,5,2,2,1377,893,723,55.3
vs Mantova,26,38.0,110,5,2,810,489,62,749,328,366,2,4,1,1434,488,480,50.4
vs Modena,30,38.0,95,3,1,587,454,33,848,279,353,2,6,2,1490,594,647,47.9
vs Palermo,29,38.0,94,2,1,569,521,96,755,233,331,1,7,3,1387,589,655,47.3
vs Pisa,33,38.0,88,8,1,444,597,96,682,265,305,1,5,4,1345,781,990,44.1
vs Reggiana,30,38.0,107,3,2,598,566,22,819,276,362,2,2,1,1345,761,654,53.8
vs Salernitana,42,38.0,78,5,1,597,528,91,638,289,312,4,6,1,1422,669,588,53.2
vs Sampdoria,38,38.0,89,7,4,550,584,61,737,303,361,1,3,1,1418,756,669,53.1
vs Sassuolo,34,38.0,83,2,0,503,454,59,748,290,316,2,8,1,1433,600,571,51.2
vs Spezia,27,38.0,114,4,2,668,611,46,586,249,341,1,8,3,1312,788,900,46.7
vs Südtirol,32,38.0,86,4,3,503,632,42,802,244,266,5,6,2,1362,826,879,48.4
