Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Bari,30,49.4,38.0,20290,2241,6487,8884,5132,844,20284,556,235,42.3,279,50.2,10622,57153,28959,524,428,138,552,317,12244,1278
vs Brescia,26,53.4,38.0,22356,2318,7271,9873,5468,893,22347,644,312,48.4,299,46.4,11773,65095,33350,700,490,148,621,329,13974,1461
vs Carrarese,33,50.9,38.0,21340,2040,6430,9622,5480,803,21332,538,260,48.3,231,42.9,10720,56482,26848,544,415,115,582,299,13024,1412
vs Catanzaro,28,44.9,38.0,19127,2127,6361,8048,4940,805,19122,405,202,49.9,169,41.7,10092,56717,30173,652,485,153,485,215,11857,1266
vs Cesena,27,51.3,38.0,22329,2026,6954,10603,5005,683,22325,530,249,47.0,239,45.1,12483,64941,32704,581,457,117,579,298,14512,1330
vs Cittadella,33,54.8,38.0,22744,2633,8584,9143,5237,888,22736,696,322,46.3,319,45.8,11588,59491,27696,534,395,147,643,313,13739,1332
vs Cosenza,31,51.1,38.0,20322,2285,7195,8482,4858,783,20318,539,253,46.9,245,45.5,10212,57902,29681,565,388,131,562,293,11965,1275
vs Cremonese,29,40.8,38.0,17838,2493,6839,7113,4079,656,17832,457,202,44.2,214,46.8,8078,44707,22028,448,323,129,564,321,9980,919
vs Frosinone,38,53.1,38.0,21918,2177,6863,10355,4865,792,21911,512,210,41.0,270,52.7,12366,65666,33328,585,410,116,517,265,14459,1390
vs Juve Stabia,29,47.5,38.0,18679,2095,6436,7973,4478,815,18672,546,229,41.9,278,50.9,8714,50520,25235,487,343,129,568,314,10004,1088
vs Mantova,26,38.5,38.0,16801,1856,5060,6956,4992,855,16799,495,231,46.7,222,44.8,7903,45181,21761,536,404,156,549,229,9406,1189
vs Modena,30,51.3,38.0,21603,1998,6054,9863,5893,768,21599,501,201,40.1,268,53.5,11561,65788,34020,668,540,92,623,332,13501,1433
vs Palermo,29,50.6,38.0,20843,2570,7395,8717,4919,812,20841,437,194,44.4,206,47.1,11228,59114,29696,523,368,136,534,280,13013,1257
vs Pisa,33,53.8,38.0,22103,2407,7510,10312,4492,606,22101,561,232,41.4,282,50.3,11428,61354,30366,526,365,91,615,350,13358,1290
vs Reggiana,30,55.2,38.0,22792,2180,7142,10187,5673,813,22790,603,264,43.8,295,48.9,11995,63856,31311,568,429,102,656,357,14535,1469
vs Salernitana,42,48.7,38.0,20644,2460,7333,8817,4720,788,20640,563,246,43.7,284,50.4,10743,57577,29102,575,450,136,538,311,12803,1247
vs Sampdoria,38,51.8,38.0,20905,2381,7434,8795,4883,792,20902,591,249,42.1,301,50.9,10658,57100,29037,544,398,141,595,301,12440,1216
vs Sassuolo,34,47.8,38.0,21501,2355,7169,9831,4725,728,21499,450,206,45.8,213,47.3,11707,64909,33739,624,421,102,526,288,13769,1300
vs Spezia,27,49.1,38.0,19712,2729,7805,7948,4153,662,19711,570,257,45.1,270,47.4,9127,49249,24465,508,346,101,594,290,11064,1038
vs Südtirol,32,56.1,38.0,22329,2350,7500,9534,5479,775,22324,481,223,46.4,224,46.6,11475,64064,32287,625,474,124,604,267,13854,1352
