Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Bari,30,50.6,38.0,20619,2206,6874,8752,5189,834,20614,557,264,47.4,241,43.3,10939,59447,30024,633,437,132,586,346,12543,1323
Brescia,26,46.6,38.0,20180,2282,6938,8675,4791,814,20178,496,206,41.5,261,52.6,9706,55363,27769,541,370,118,571,286,11784,1211
Carrarese,33,49.1,38.0,20616,2471,7487,9011,4330,672,20612,647,285,44.0,319,49.3,11489,59831,29483,572,426,121,533,288,12324,1075
Catanzaro,28,55.1,38.0,22399,2760,8263,9632,4672,689,22395,464,222,47.8,197,42.5,13891,69552,35190,522,415,106,533,265,15150,1328
Cesena,27,48.7,38.0,21368,2229,7631,9401,4583,685,21361,579,256,44.2,287,49.6,11119,57179,28597,526,383,139,552,320,13585,1168
Cittadella,33,45.2,38.0,19548,2169,6498,8160,5090,660,19547,525,227,43.2,267,50.9,9258,49560,24417,505,363,91,631,292,10546,1291
Cosenza,31,48.9,38.0,19612,2056,6060,8908,4848,703,19608,582,250,43.0,288,49.5,9560,57555,28892,546,397,111,590,257,11199,1228
Cremonese,29,59.2,38.0,23920,2148,7548,10251,6324,944,23918,530,234,44.2,271,51.1,13562,71896,37129,751,563,155,561,275,16066,1647
Frosinone,38,46.9,38.0,19954,2268,6664,8904,4611,737,19949,571,249,43.6,268,46.9,9848,60686,29318,588,453,168,604,293,12437,1212
Juve Stabia,29,52.5,38.0,20239,2445,7356,8712,4374,670,20237,587,248,42.2,269,45.8,10332,54276,27778,479,372,98,619,307,11478,1100
Mantova,26,61.5,38.0,24596,3110,9690,10469,4628,665,24592,527,216,41.0,260,49.3,14082,65610,31492,528,419,108,546,358,17217,1306
Modena,30,48.7,38.0,20815,2355,7453,8720,4860,725,20809,512,252,49.2,224,43.8,10244,58667,28976,556,422,132,522,317,12689,1360
Palermo,29,49.4,38.0,20390,2481,6873,8795,4904,862,20383,535,215,40.2,276,51.6,10648,59877,31369,634,425,131,588,263,12620,1318
Pisa,33,46.2,38.0,19658,1971,6324,8478,5071,884,19653,463,203,43.8,221,47.7,9276,52945,25342,487,373,107,587,287,10769,1244
Reggiana,30,44.8,38.0,19576,2257,7134,8491,4198,691,19574,560,247,44.1,266,47.5,10068,57073,29575,598,409,139,601,287,11265,1059
Salernitana,42,51.3,38.0,21361,2112,6476,9885,5219,772,21355,486,240,49.4,221,45.5,10998,64355,33715,640,484,125,566,310,13581,1359
Sampdoria,38,48.2,38.0,19605,2311,6313,8535,4962,762,19602,557,254,45.6,261,46.9,9533,53023,26408,495,375,118,565,312,11272,1213
Sassuolo,34,52.2,38.0,23376,2177,6660,11092,5850,860,23368,550,280,50.9,239,43.5,12826,65734,33015,653,512,170,598,336,15655,1453
Spezia,27,50.9,38.0,19802,1817,5518,8522,5987,1096,19794,534,245,45.9,262,49.1,9266,53461,27455,611,452,126,608,332,11227,1435
Südtirol,32,43.9,38.0,18542,2096,6062,7663,4980,836,18536,413,184,44.6,210,50.8,7828,40776,19842,452,279,109,546,238,10094,1212
