Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Bari,30,38.0,40,540,170,31.5,14.21,4.47,0.06,0.21,18.2,31,5,6,51.3,46.8,0.09,-11.3,-11.8
vs Brescia,26,38.0,47,539,163,30.2,14.18,4.29,0.08,0.26,18.5,17,5,9,48.8,42.5,0.08,-1.8,-0.5
vs Carrarese,33,38.0,49,540,163,30.2,14.21,4.29,0.08,0.26,17.8,26,7,8,49.3,43.1,0.08,-0.3,-1.1
vs Catanzaro,28,38.0,43,499,146,29.3,13.13,3.84,0.08,0.27,17.9,19,4,5,51.8,48.0,0.1,-8.8,-9.0
vs Cesena,27,38.0,43,437,134,30.7,11.5,3.53,0.1,0.31,17.0,19,1,4,47.6,44.3,0.1,-4.6,-2.3
vs Cittadella,33,38.0,49,532,163,30.6,14.0,4.29,0.08,0.26,17.6,23,7,8,55.6,49.2,0.09,-6.6,-7.2
vs Cosenza,31,38.0,52,485,159,32.8,12.76,4.18,0.1,0.31,16.6,22,3,4,49.2,46.1,0.1,2.8,2.9
vs Cremonese,29,38.0,42,382,111,29.1,10.05,2.92,0.1,0.33,18.7,21,5,6,39.5,35.0,0.09,2.5,2.0
vs Frosinone,38,38.0,50,471,153,32.5,12.39,4.03,0.1,0.29,17.1,12,5,7,49.1,43.4,0.1,0.9,1.6
vs Juve Stabia,29,38.0,41,439,142,32.3,11.55,3.74,0.08,0.25,17.2,16,5,7,40.1,34.6,0.08,0.9,1.4
vs Mantova,26,38.0,55,511,171,33.5,13.45,4.5,0.1,0.31,17.7,16,2,2,48.8,47.2,0.09,6.2,5.8
vs Modena,30,38.0,48,505,135,26.7,13.29,3.55,0.09,0.33,18.3,30,3,4,45.5,42.3,0.09,2.5,2.7
vs Palermo,29,38.0,42,507,146,28.8,13.34,3.84,0.08,0.27,17.5,19,2,2,46.2,44.6,0.09,-4.2,-4.6
vs Pisa,33,38.0,36,383,128,33.4,10.08,3.37,0.09,0.27,18.7,19,2,2,35.4,33.8,0.09,0.6,0.2
vs Reggiana,30,38.0,48,503,144,28.6,13.24,3.79,0.09,0.32,17.6,16,2,2,42.0,40.5,0.08,6.0,5.5
vs Salernitana,42,38.0,47,437,132,30.2,11.5,3.47,0.1,0.33,17.5,16,4,4,48.7,45.5,0.11,-1.7,-2.5
vs Sampdoria,38,38.0,49,530,165,31.1,13.95,4.34,0.09,0.28,17.5,19,2,3,46.8,44.4,0.09,2.2,2.6
vs Sassuolo,34,38.0,37,479,148,30.9,12.61,3.89,0.07,0.24,17.7,20,2,2,40.3,38.7,0.08,-3.3,-3.7
vs Spezia,27,38.0,30,446,128,28.7,11.74,3.37,0.07,0.23,17.8,15,1,1,35.9,35.1,0.08,-5.9,-6.1
vs Südtirol,32,38.0,56,539,156,28.9,14.18,4.11,0.1,0.34,17.8,18,3,5,47.8,43.8,0.08,8.2,9.2
