Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Bari,30,26.4,49.4,38,418,3420,38.0,40,25,65,35,5,6,93,6,51.3,46.8,34.4,81.3,524,1294,1.05,0.66,1.71,0.92,1.58,1.35,0.91,2.26,1.23,2.14
vs Brescia,26,26.3,53.4,38,418,3420,38.0,47,33,80,42,5,9,100,7,48.8,42.5,31.0,73.5,700,1477,1.24,0.87,2.11,1.11,1.97,1.28,0.82,2.1,1.12,1.93
vs Carrarese,33,26.4,50.9,38,418,3420,38.0,49,29,78,42,7,8,92,5,49.3,43.1,30.6,73.6,544,1425,1.29,0.76,2.05,1.11,1.87,1.3,0.8,2.1,1.13,1.94
vs Catanzaro,28,26.4,44.9,38,418,3420,38.0,43,30,73,39,4,5,96,3,51.8,48.0,34.8,82.7,652,1278,1.13,0.79,1.92,1.03,1.82,1.36,0.91,2.28,1.26,2.18
vs Cesena,27,26.4,51.3,38,418,3420,38.0,43,33,76,42,1,4,93,4,47.6,44.3,34.4,78.7,581,1353,1.13,0.87,2.0,1.11,1.97,1.25,0.91,2.16,1.17,2.07
vs Cittadella,33,26.5,54.8,38,418,3420,38.0,49,26,75,42,7,8,83,1,55.6,49.2,37.3,86.6,534,1348,1.29,0.68,1.97,1.11,1.79,1.46,0.98,2.44,1.3,2.28
vs Cosenza,31,26.4,51.1,38,418,3420,38.0,52,37,89,49,3,4,99,5,49.2,46.1,35.9,82.1,565,1285,1.37,0.97,2.34,1.29,2.26,1.29,0.95,2.24,1.21,2.16
vs Cremonese,29,26.5,40.8,38,418,3420,38.0,42,23,65,37,5,6,86,3,39.5,35.0,25.8,60.8,448,931,1.11,0.61,1.71,0.97,1.58,1.04,0.68,1.72,0.92,1.6
vs Frosinone,38,26.6,53.1,38,418,3420,38.0,50,34,84,45,5,7,93,4,49.1,43.4,35.9,79.3,585,1400,1.32,0.89,2.21,1.18,2.08,1.29,0.94,2.23,1.14,2.09
vs Juve Stabia,29,26.4,47.5,38,418,3420,38.0,41,25,66,36,5,7,101,6,40.1,34.6,26.1,60.7,487,1110,1.08,0.66,1.74,0.95,1.61,1.06,0.69,1.74,0.91,1.6
vs Mantova,26,26.3,38.5,38,418,3420,38.0,55,44,99,53,2,2,110,5,48.8,47.2,40.2,87.4,536,1205,1.45,1.16,2.61,1.39,2.55,1.28,1.06,2.34,1.24,2.3
vs Modena,30,26.6,51.3,38,418,3420,38.0,48,29,77,45,3,4,95,3,45.5,42.3,31.5,73.9,668,1443,1.26,0.76,2.03,1.18,1.95,1.2,0.83,2.03,1.11,1.94
vs Palermo,29,26.5,50.6,38,418,3420,38.0,42,29,71,40,2,2,94,2,46.2,44.6,35.6,80.3,523,1271,1.11,0.76,1.87,1.05,1.82,1.22,0.94,2.15,1.17,2.11
vs Pisa,33,26.4,53.8,38,418,3420,38.0,36,22,58,34,2,2,88,8,35.4,33.8,23.6,57.4,526,1297,0.95,0.58,1.53,0.89,1.47,0.93,0.62,1.55,0.89,1.51
vs Reggiana,30,26.6,55.2,38,418,3420,38.0,48,39,87,46,2,2,107,3,42.0,40.5,30.0,70.5,568,1487,1.26,1.03,2.29,1.21,2.24,1.11,0.79,1.9,1.07,1.86
vs Salernitana,42,26.4,48.7,38,418,3420,38.0,47,33,80,43,4,4,78,5,48.7,45.5,35.0,80.5,575,1262,1.24,0.87,2.11,1.13,2.0,1.28,0.92,2.2,1.2,2.12
vs Sampdoria,38,26.4,51.8,38,418,3420,38.0,49,33,82,47,2,3,89,7,46.8,44.4,31.5,76.0,544,1230,1.29,0.87,2.16,1.24,2.11,1.23,0.83,2.06,1.17,2.0
vs Sassuolo,34,26.4,47.8,38,418,3420,38.0,37,28,65,35,2,2,83,2,40.3,38.7,31.2,69.9,624,1320,0.97,0.74,1.71,0.92,1.66,1.06,0.82,1.88,1.02,1.84
vs Spezia,27,26.3,49.1,38,418,3420,38.0,30,23,53,29,1,1,114,4,35.9,35.1,27.3,62.4,508,1051,0.79,0.61,1.39,0.76,1.37,0.95,0.72,1.66,0.92,1.64
vs Südtirol,32,26.4,56.1,38,418,3420,38.0,56,40,96,53,3,5,86,4,47.8,43.8,32.9,76.8,625,1363,1.47,1.05,2.53,1.39,2.45,1.26,0.87,2.13,1.15,2.02
